row;subject_id;trial_index;trial_type;rt;key_press;musical_type;stimulus;options;responses
5503;5a6ab70ee6cc4a0001b693c9;0;html-keyboard-response;4612;32;NULL;"This experiment is being conducted at Vassar College.  It consists of several tasks, each of which involves viewing various items and making simple judgments about them. The study takes approximately 15 minutes to complete. Participation poses minimal ris";NULL;NULL
5504;5a6ab70ee6cc4a0001b693c9;1;html-keyboard-response;12643;32;NULL;"Because this experiment features auditory stimuli, it is important to test that your speakers or headphones are working at a comfortable volume before you begin. When you are ready to start the experiment, click the spacebar to continue. In the following ";NULL;NULL
5505;5a6ab70ee6cc4a0001b693c9;2;audio-keyboard-response;NULL;NULL;NULL;MusicStimuli/K.mp3;NULL;NULL
5506;5a6ab70ee6cc4a0001b693c9;3;audio-keyboard-response;3489;75;NULL;MusicStimuli/K.mp3;NULL;NULL
5507;5a6ab70ee6cc4a0001b693c9;4;html-keyboard-response;8635;32;NULL;"In this experiment you will hear brief music clips and be asked to make judgments about them. A short music clip will play, and then you will then be presented with a list of 15 words. Check off the words you thought of when you heard the music. Please ke";NULL;NULL
5508;5a6ab70ee6cc4a0001b693c9;5;html-keyboard-response;2477;32;NULL;"Only click "None of the Above" if you believe none of the given words matched what you were thinking of when you listened to the music. In other words, if you click "None of the Above" there should be no other words checked off.<br><br> Press the spacebar";NULL;NULL
5509;5a6ab70ee6cc4a0001b693c9;6;html-keyboard-response;2294;32;NULL;"Now we will begin the experiment.<br><br> Press the spacebar continue.";NULL;NULL
5510;5a6ab70ee6cc4a0001b693c9;7;audio-keyboard-response;NULL;NULL;NULL;Quarrel;NULL;NULL
5511;5a6ab70ee6cc4a0001b693c9;8;survey-multi-select;9569;NULL;Icon1;Quarrel;"[" Devotion"," Basement"," Quarrel"," Cradle"," Red"," Angel"," River"," Narrowness"," Circle"," Hero"," Sigh"," Wideness"," Needle"," Bird"," Staircase"," None of the above"]";"{"Q0":[" Quarrel"]}"
5512;5a6ab70ee6cc4a0001b693c9;9;audio-keyboard-response;NULL;NULL;NULL;Strength;NULL;NULL
5513;5a6ab70ee6cc4a0001b693c9;10;survey-multi-select;7033;NULL;Ind;Strength;"[" Quarrel"," Peaceful"," Celebration"," Mockery"," Jungle"," Strength"," Devotion"," Toxin"," Departure"," Angel"," Ocean"," Red"," Blossom"," Cradle"," Mischeif"," None of the above"]";"{"Q0":[" Mischeif"]}"
5514;5a6ab70ee6cc4a0001b693c9;11;audio-keyboard-response;NULL;NULL;NULL;Ocean;NULL;NULL
5515;5a6ab70ee6cc4a0001b693c9;12;survey-multi-select;11329;NULL;Icon1;Ocean;"[" Hero"," Quarrel"," Mischeif"," Mockery"," Staircase"," Blue"," Arrival"," Departure"," Circle"," Basement"," Ocean"," Wideness"," Narrowness"," Fight"," Red"," None of the above"]";"{"Q0":[" Hero"]}"
5516;5a6ab70ee6cc4a0001b693c9;13;audio-keyboard-response;NULL;NULL;NULL;Sigh;NULL;NULL
5517;5a6ab70ee6cc4a0001b693c9;14;survey-multi-select;6836;NULL;Icon1;Sigh;"[" Circle"," Sigh"," Devotion"," Jungle"," Wideness"," Strength"," Fight"," Red"," Angel"," Quarrel"," Narrowness"," Rushed"," Bird"," Blossom"," River"," None of the above"]";"{"Q0":[" Blossom"]}"
5518;5a6ab70ee6cc4a0001b693c9;15;audio-keyboard-response;NULL;NULL;NULL;Narrowness;NULL;NULL
5519;5a6ab70ee6cc4a0001b693c9;16;survey-multi-select;13586;NULL;Icon2;Narrowness;"[" Blue"," Cradle"," Needle"," Fight"," Staircase"," Rushed"," Departure"," Quarrel"," Narrowness"," Wideness"," Devotion"," Bird"," River"," Angel"," Mischeif"," None of the above"]";"{"Q0":[" Wideness"]}"
5520;5a6ab70ee6cc4a0001b693c9;17;audio-keyboard-response;NULL;NULL;NULL;Devotion;NULL;NULL
5521;5a6ab70ee6cc4a0001b693c9;18;survey-multi-select;5466;NULL;Ind;Devotion;"[" Circle"," Narrowness"," Jungle"," Quarrel"," Cradle"," Fight"," Blossom"," Hero"," Needle"," Staircase"," Blue"," Arrival"," Sigh"," Mischeif"," Basement"," None of the above"]";"{"Q0":[" Arrival"]}"
5522;5a6ab70ee6cc4a0001b693c9;19;audio-keyboard-response;NULL;NULL;NULL;Mockery;NULL;NULL
5523;5a6ab70ee6cc4a0001b693c9;20;survey-multi-select;9399;NULL;Icon1;Mockery;"[" Mockery"," Blossom"," Red"," Bird"," Departure"," Jungle"," Sigh"," Circle"," Toxin"," Staircase"," Angel"," Peaceful"," Blue"," Arrival"," Basement"," None of the above"]";"{"Q0":[" Mockery"," Toxin"]}"
5524;5a6ab70ee6cc4a0001b693c9;21;audio-keyboard-response;NULL;NULL;NULL;Blossom;NULL;NULL
5525;5a6ab70ee6cc4a0001b693c9;22;survey-multi-select;8351;NULL;Icon2;Blossom;"[" Cradle"," Circle"," Arrival"," Fight"," Hero"," River"," Celebration"," Mockery"," Departure"," Toxin"," Basement"," Mischeif"," Jungle"," Blossom"," Rushed"," None of the above"]";"{"Q0":[" Circle"," Arrival"," Celebration"]}"
5526;5a6ab70ee6cc4a0001b693c9;23;audio-keyboard-response;NULL;NULL;NULL;Basement;NULL;NULL
5527;5a6ab70ee6cc4a0001b693c9;24;survey-multi-select;4425;NULL;Icon2;Basement;"[" Wideness"," Mischeif"," Basement"," Departure"," Mockery"," Arrival"," Peaceful"," Blue"," Toxin"," Bird"," Celebration"," Circle"," Jungle"," Narrowness"," Needle"," None of the above"]";"{"Q0":[" Mischeif"," Toxin"]}"
5528;5a6ab70ee6cc4a0001b693c9;25;audio-keyboard-response;NULL;NULL;NULL;Circle;NULL;NULL
5529;5a6ab70ee6cc4a0001b693c9;26;survey-multi-select;4653;NULL;Icon2;Circle;"[" Ocean"," Staircase"," Mockery"," Circle"," Jungle"," Angel"," Mischeif"," Arrival"," Red"," Toxin"," Blossom"," Needle"," Narrowness"," Hero"," River"," None of the above"]";"{"Q0":[" Circle"," Angel"]}"
5530;5a6ab70ee6cc4a0001b693c9;27;audio-keyboard-response;NULL;NULL;NULL;Peaceful;NULL;NULL
5531;5a6ab70ee6cc4a0001b693c9;28;survey-multi-select;12992;NULL;Ind;Peaceful;"[" Narrowness"," Staircase"," Jungle"," Hero"," Devotion"," Ocean"," Rushed"," Angel"," Needle"," Cradle"," Strength"," Bird"," River"," Sigh"," Fight"," None of the above"]";"{"Q0":[" Cradle"," Bird"]}"
5532;5a6ab70ee6cc4a0001b693c9;29;audio-keyboard-response;NULL;NULL;NULL;Rushed;NULL;NULL
5533;5a6ab70ee6cc4a0001b693c9;30;survey-multi-select;7587;NULL;Icon2;Rushed;"[" Quarrel"," Arrival"," Fight"," Blue"," Hero"," Basement"," Needle"," Mockery"," Toxin"," Rushed"," Cradle"," Jungle"," Red"," Sigh"," Departure"," None of the above"]";"{"Q0":[" Quarrel"," Fight"]}"
5534;5a6ab70ee6cc4a0001b693c9;31;audio-keyboard-response;NULL;NULL;NULL;Red;NULL;NULL
5535;5a6ab70ee6cc4a0001b693c9;32;survey-multi-select;9740;NULL;Ind;Red;"[" Red"," Staircase"," Strength"," Angel"," Jungle"," Cradle"," River"," Sigh"," Devotion"," Needle"," Ocean"," Mischeif"," Blossom"," Peaceful"," Departure"," None of the above"]";"{"Q0":[" Strength"," Mischeif"]}"
5536;5a6ab70ee6cc4a0001b693c9;33;audio-keyboard-response;NULL;NULL;NULL;Jungle;NULL;NULL
5537;5a6ab70ee6cc4a0001b693c9;34;survey-multi-select;14126;NULL;Icon1;Jungle;"[" Bird"," Departure"," Red"," Rushed"," Blue"," Toxin"," Arrival"," Jungle"," Narrowness"," Ocean"," Mockery"," Blossom"," Quarrel"," Needle"," Wideness"," None of the above"]";"{"Q0":[" Jungle"," Blossom"]}"
5538;5a6ab70ee6cc4a0001b693c9;35;audio-keyboard-response;NULL;NULL;NULL;Wideness;NULL;NULL
5539;5a6ab70ee6cc4a0001b693c9;36;survey-multi-select;9853;NULL;Icon2;Wideness;"[" Mischeif"," Quarrel"," Departure"," Devotion"," Blue"," Wideness"," Arrival"," Angel"," Needle"," Rushed"," River"," Celebration"," Circle"," Bird"," Sigh"," None of the above"]";"{"Q0":[" Blue"," River"," Celebration"]}"
5540;5a6ab70ee6cc4a0001b693c9;37;audio-keyboard-response;NULL;NULL;NULL;"Musical Clock";NULL;NULL
