subject,music,measure,value
1,arrival,fast,1
2,arrival,fast,1
3,arrival,fast,2
4,arrival,fast,1
5,arrival,fast,5
6,arrival,fast,1
7,arrival,fast,1
8,arrival,fast,2
9,arrival,fast,2
10,arrival,fast,1
11,arrival,fast,2
12,arrival,fast,1
13,arrival,fast,2
1,arrival,slow,4
2,arrival,slow,5
3,arrival,slow,5
4,arrival,slow,4
5,arrival,slow,2
6,arrival,slow,4
7,arrival,slow,4
8,arrival,slow,3
9,arrival,slow,3
10,arrival,slow,5
11,arrival,slow,4
12,arrival,slow,5
13,arrival,slow,4
1,arrival,high,1
2,arrival,high,2
3,arrival,high,2
4,arrival,high,4
5,arrival,high,5
6,arrival,high,3
7,arrival,high,4
8,arrival,high,3
9,arrival,high,4
10,arrival,high,1
11,arrival,high,4
12,arrival,high,4
13,arrival,high,4
1,arrival,low,5
2,arrival,low,4
3,arrival,low,4
4,arrival,low,4
5,arrival,low,2
6,arrival,low,2
7,arrival,low,3
8,arrival,low,2
9,arrival,low,2
10,arrival,low,5
11,arrival,low,2
12,arrival,low,2
13,arrival,low,2
1,arrival,loud,4
2,arrival,loud,4
3,arrival,loud,5
4,arrival,loud,4
5,arrival,loud,5
6,arrival,loud,4
7,arrival,loud,4
8,arrival,loud,4
9,arrival,loud,5
10,arrival,loud,5
11,arrival,loud,4
12,arrival,loud,5
13,arrival,loud,4
1,arrival,soft,1
2,arrival,soft,1
3,arrival,soft,1
4,arrival,soft,2
5,arrival,soft,2
6,arrival,soft,1
7,arrival,soft,2
8,arrival,soft,1
9,arrival,soft,3
10,arrival,soft,1
11,arrival,soft,2
12,arrival,soft,1
13,arrival,soft,2
1,arrival,consonant,5
2,arrival,consonant,5
3,arrival,consonant,5
4,arrival,consonant,5
5,arrival,consonant,4
6,arrival,consonant,5
7,arrival,consonant,4
8,arrival,consonant,5
9,arrival,consonant,5
10,arrival,consonant,4
11,arrival,consonant,5
12,arrival,consonant,5
13,arrival,consonant,4
1,arrival,dissonant,1
2,arrival,dissonant,1
3,arrival,dissonant,1
4,arrival,dissonant,1
5,arrival,dissonant,2
6,arrival,dissonant,1
7,arrival,dissonant,2
8,arrival,dissonant,1
9,arrival,dissonant,1
10,arrival,dissonant,2
11,arrival,dissonant,1
12,arrival,dissonant,1
13,arrival,dissonant,2
1,arrival,instruments,"horns, brass, drums"
2,arrival,instruments,"Brass, trumpets, drums"
3,arrival,instruments,"trumpets, drums"
4,arrival,instruments,"trumpet, bass drum"
5,arrival,instruments,Trumpet
6,arrival,instruments,trumpets
7,arrival,instruments,trumpet
8,arrival,instruments,"horn, drum"
9,arrival,instruments,horn
10,arrival,instruments,"trumpets, drums"
11,arrival,instruments,"trumpet, drums"
12,arrival,instruments,trumpet
13,arrival,instruments,trumpets
1,basement,fast,1
2,basement,fast,1
3,basement,fast,1
4,basement,fast,3
5,basement,fast,3
6,basement,fast,1
7,basement,fast,2
8,basement,fast,1
9,basement,fast,1
10,basement,fast,1
11,basement,fast,3
12,basement,fast,4
13,basement,fast,1
1,basement,slow,5
2,basement,slow,5
3,basement,slow,5
4,basement,slow,3
5,basement,slow,4
6,basement,slow,4
7,basement,slow,5
8,basement,slow,4
9,basement,slow,5
10,basement,slow,5
11,basement,slow,4
12,basement,slow,2
13,basement,slow,5
1,basement,high,1
2,basement,high,1
3,basement,high,1
4,basement,high,1
5,basement,high,2
6,basement,high,1
7,basement,high,2
8,basement,high,1
9,basement,high,1
10,basement,high,1
11,basement,high,1
12,basement,high,1
13,basement,high,1
1,basement,low,5
2,basement,low,5
3,basement,low,5
4,basement,low,5
5,basement,low,5
6,basement,low,5
7,basement,low,5
8,basement,low,5
9,basement,low,5
10,basement,low,5
11,basement,low,5
12,basement,low,5
13,basement,low,5
1,basement,loud,4
2,basement,loud,4
3,basement,loud,1
4,basement,loud,3
5,basement,loud,4
6,basement,loud,3
7,basement,loud,4
8,basement,loud,3
9,basement,loud,4
10,basement,loud,4
11,basement,loud,3
12,basement,loud,4
13,basement,loud,3
1,basement,soft,2
2,basement,soft,2
3,basement,soft,5
4,basement,soft,3
5,basement,soft,3
6,basement,soft,1
7,basement,soft,2
8,basement,soft,1
9,basement,soft,3
10,basement,soft,2
11,basement,soft,3
12,basement,soft,1
13,basement,soft,3
1,basement,consonant,4
2,basement,consonant,4
3,basement,consonant,2
4,basement,consonant,2
5,basement,consonant,4
6,basement,consonant,2
7,basement,consonant,4
8,basement,consonant,4
9,basement,consonant,3
10,basement,consonant,3
11,basement,consonant,2
12,basement,consonant,2
13,basement,consonant,4
1,basement,dissonant,2
2,basement,dissonant,1
3,basement,dissonant,4
4,basement,dissonant,4
5,basement,dissonant,2
6,basement,dissonant,4
7,basement,dissonant,2
8,basement,dissonant,2
9,basement,dissonant,3
10,basement,dissonant,3
11,basement,dissonant,4
12,basement,dissonant,4
13,basement,dissonant,2
1,basement,instruments,"horn, brass"
2,basement,instruments,Woodwind
3,basement,instruments,clarinet
4,basement,instruments,bassoon
5,basement,instruments,Saxophone
6,basement,instruments,wind instrument
7,basement,instruments,tuba
8,basement,instruments,oboe
9,basement,instruments,horn
10,basement,instruments,woodwinds
11,basement,instruments,basoon
12,basement,instruments,bass clarinet
13,basement,instruments,NA
1,bird,fast,4
2,bird,fast,4
3,bird,fast,4
4,bird,fast,4
5,bird,fast,4
6,bird,fast,3
7,bird,fast,5
8,bird,fast,4
9,bird,fast,5
10,bird,fast,4
11,bird,fast,5
12,bird,fast,5
13,bird,fast,5
1,bird,slow,2
2,bird,slow,1
3,bird,slow,1
4,bird,slow,1
5,bird,slow,1
6,bird,slow,2
7,bird,slow,2
8,bird,slow,1
9,bird,slow,1
10,bird,slow,2
11,bird,slow,1
12,bird,slow,1
13,bird,slow,1
1,bird,high,5
2,bird,high,5
3,bird,high,5
4,bird,high,4
5,bird,high,4
6,bird,high,4
7,bird,high,5
8,bird,high,5
9,bird,high,5
10,bird,high,4
11,bird,high,5
12,bird,high,4
13,bird,high,5
1,bird,low,1
2,bird,low,2
3,bird,low,1
4,bird,low,3
5,bird,low,1
6,bird,low,2
7,bird,low,1
8,bird,low,2
9,bird,low,1
10,bird,low,2
11,bird,low,1
12,bird,low,1
13,bird,low,1
1,bird,loud,2
2,bird,loud,3
3,bird,loud,2
4,bird,loud,3
5,bird,loud,5
6,bird,loud,3
7,bird,loud,3
8,bird,loud,3
9,bird,loud,3
10,bird,loud,2
11,bird,loud,3
12,bird,loud,1
